entry,format,width,height,mips,flags,kv3_version_hex,bytes
materials/blends/blend_cemetery_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_cemetery_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_cemetery_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_concrete_01_vmat_g_tnormalroughness1_9b6baee2.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_concrete_01_vmat_g_tnormalroughness2_9b6baee2.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_concrete_01_vmat_g_tnormalroughness3_9b6baee2.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_concrete_02_vmat_g_tcolor_76dae843.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_concrete_02_vmat_g_tnormalroughness_613e1c56.vtex_c,BC7,4,4,1,0,0x00000001,2272
materials/blends/blend_concrete_sidewalk01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_concrete_sidewalk01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_concrete_sidewalk01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_curb_street_01_vmat_g_tcolor_ce810cb3.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_foliage_01_vmat_g_tcolor_66d89f30.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_garden_01_vmat_g_tpacked3_c61ce715.vtex_c,ATI2N,4,4,1,0,0x00000001,2256
materials/blends/blend_ground_01_scratch_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_ground_01_scratch_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_ground_01_scratch_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_lighthouse_01_vmat_g_tcolor_b1268826.vtex_c,BC7,4,4,1,0,0x00000001,2192
materials/blends/blend_metal_blue_01_vmat_g_tcolor1_405c76e4.vtex_c,BC7,4,4,1,0,0x00000001,2240
materials/blends/blend_metal_blue_01_vmat_g_tnormalroughness1_53b47c48.vtex_c,BC7,4,4,1,0,0x00000001,2320
materials/blends/blend_metal_dark_01_vmat_g_tcolor_988ab04d.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/blend_metal_green_01_vmat_g_tcolor_833c493c.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/blend_metal_painted_01_vmat_g_tcolor_4a9af86b.vtex_c,BC7,4,4,1,0,0x00000001,1984
materials/blends/blend_metal_rusted_01_vmat_g_tambientocclusion_9782fd5c.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
materials/blends/blend_metal_rusted_01_vmat_g_tnormalroughness_2984f4a9.vtex_c,BC7,4,4,1,0,0x00000001,2112
materials/blends/blend_metal_rusted_01_vmat_g_ttintmask_2b2ebb3f.vtex_c,ATI1N,4,4,1,0,0x00000001,2024
